Term,CRN,Subject,Course Number,Attribute,Credits,Title,Days,Time,Building,Instructor
202620,20100,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,MW,1400 1515,REYNOL,Sina Moukaled
202620,20100,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,MW,1400 1515,REYNOL,Sina Moukaled
202620,20101,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,TR,1400 1515,REYNOL,Lina Jammal
202620,20101,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,TR,1400 1515,REYNOL,Lina Jammal
202620,20102,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,TR,1530 1645,REYNOL,Lina Jammal
202620,20102,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,TR,1530 1645,REYNOL,Lina Jammal
202620,23040,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,MWF,0800 0850,REYNOL,Mariam El Ali
202620,23040,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,MWF,0800 0850,REYNOL,Mariam El Ali
202620,23041,ARAB,201,Arabic Communication Skills,3,Qs in Contemp. Arab Culture,MWF,0900 0950,REYNOL,Mariam El Ali
202620,23041,ARAB,201,Understanding Communication,3,Qs in Contemp. Arab Culture,MWF,0900 0950,REYNOL,Mariam El Ali
202620,20103,ARAB,202,Arabic Communication Skills,3,Arabic Technical Writing,MW,1230 1345,NICELY,Samir Malti
202620,20103,ARAB,202,Understanding Communication,3,Arabic Technical Writing,MW,1230 1345,NICELY,Samir Malti
202620,20104,ARAB,202,Arabic Communication Skills,3,Arabic Technical Writing,MW,1530 1645,NICELY,Samir Malti
202620,20104,ARAB,202,Understanding Communication,3,Arabic Technical Writing,MW,1530 1645,NICELY,Samir Malti
202620,20105,ARAB,202,Arabic Communication Skills,3,Arabic Technical Writing,MW,1700 1815,NICELY,Samir Malti
202620,20105,ARAB,202,Understanding Communication,3,Arabic Technical Writing,MW,1700 1815,NICELY,Samir Malti
202620,20106,ARAB,203,Arabic Communication Skills,3,Beg Arab as Foreign Lang. I,M,1230 1429,ADAD,Rima Sultani Kanawaty
202620,20106,ARAB,203,Understanding Communication,3,Beg Arab as Foreign Lang. I,M,1230 1429,ADAD,Rima Sultani Kanawaty
202620,20107,ARAB,204,Arabic Communication Skills,3,Beg Arabic as Foreign Lang II,M,1000 1155,ADAD,Rima Sultani Kanawaty
202620,20107,ARAB,204,Understanding Communication,3,Beg Arabic as Foreign Lang II,M,1000 1155,ADAD,Rima Sultani Kanawaty
202620,20108,ARAB,205,Arabic Communication Skills,3,Interm Arab as Foreign LangIII,MW,0800 0955,ADAD,Rima Semaan
202620,20108,ARAB,205,Understanding Communication,3,Interm Arab as Foreign LangIII,MW,0800 0955,ADAD,Rima Semaan
202620,20109,ARAB,206,Arabic Communication Skills,3,Interm Arab as Foreign Lang IV,MW,1000 1155,ADAD,Rima Semaan
202620,20109,ARAB,206,Understanding Communication,3,Interm Arab as Foreign Lang IV,MW,1000 1155,ADAD,Rima Semaan
202620,23534,ARAB,206,Arabic Communication Skills,3,Interm Arab as Foreign Lang IV,TR,0800 0929,ADAD,Aliya Saidi
202620,23534,ARAB,206,Understanding Communication,3,Interm Arab as Foreign Lang IV,TR,0800 0929,ADAD,Aliya Saidi
202620,20110,ARAB,207,Arabic Communication Skills,3,Advan.Arab.as Foreign Lang.I,TR,0930 1055,ADAD,Rima Sultani Kanawaty
202620,20110,ARAB,207,Understanding Communication,3,Advan.Arab.as Foreign Lang.I,TR,0930 1055,ADAD,Rima Sultani Kanawaty
202620,20111,ARAB,207,Arabic Communication Skills,3,Advan.Arab.as Foreign Lang.I,F,1400 1529,ADAD,Chadi El Kahwaji
202620,20111,ARAB,207,Understanding Communication,3,Advan.Arab.as Foreign Lang.I,F,1400 1529,ADAD,Chadi El Kahwaji
202620,20112,ARAB,209,Arabic Communication Skills,3,Adv.Arab.as Foreign Lang.III,MW,1230 1355,ADAD,Rima Semaan
202620,20112,ARAB,209,Understanding Communication,3,Adv.Arab.as Foreign Lang.III,MW,1230 1355,ADAD,Rima Semaan
202620,20113,ARAB,209,Arabic Communication Skills,3,Adv.Arab.as Foreign Lang.III,F,1530 1659,ADAD,Chadi El Kahwaji
202620,20113,ARAB,209,Understanding Communication,3,Adv.Arab.as Foreign Lang.III,F,1530 1659,ADAD,Chadi El Kahwaji
202620,20114,ARAB,210A,Arabic Communication Skills,3,Writing Prose,T,1530 1800,NICELY,Rachid El Daif
202620,20114,ARAB,210A,Understanding Communication,3,Writing Prose,T,1530 1800,NICELY,Rachid El Daif
202620,20115,ARAB,210A,Arabic Communication Skills,3,Writing Prose,W,1530 1800,NICELY,Rachid El Daif
202620,20115,ARAB,210A,Understanding Communication,3,Writing Prose,W,1530 1800,NICELY,Rachid El Daif
202620,20116,ARAB,212,Cultures and Histories,3,Survey of Arabic Grammar,TR,1100 1215,NICELY,Tarif Bazzi
202620,20116,ARAB,212,Humanities II,3,Survey of Arabic Grammar,TR,1100 1215,NICELY,Tarif Bazzi
202620,20117,ARAB,213,Cultures and Histories,3,Introductory Biblical Hebrew,TR,1530 1645,NICELY,Hussein Ghaddar
202620,20117,ARAB,213,Humanities II,3,Introductory Biblical Hebrew,TR,1530 1645,NICELY,Hussein Ghaddar
202620,20118,ARAB,215,Cultures and Histories,3,Introductory Syriac,TR,0800 0915,NICELY,Najm Bou Fadel
202620,20118,ARAB,215,Humanities I,3,Introductory Syriac,TR,0800 0915,NICELY,Najm Bou Fadel
202620,20119,ARAB,223,Arabic Communication Skills,3,Arabic in Modern Media,MW,1400 1515,NICELY,Jihad El Mallah
202620,20119,ARAB,223,Understanding Communication,3,Arabic in Modern Media,MW,1400 1515,NICELY,Jihad El Mallah
202620,20120,ARAB,223,Arabic Communication Skills,3,Arabic in Modern Media,MW,1530 1645,NICELY,Jihad El Mallah
202620,20120,ARAB,223,Understanding Communication,3,Arabic in Modern Media,MW,1530 1645,NICELY,Jihad El Mallah
202620,20121,ARAB,231,Cultures and Histories,3,The Ode,MW,1100 1215,NICELY,Najah (Hawwa) Atiyyah
202620,20121,ARAB,231,Humanities I,3,The Ode,MW,1100 1215,NICELY,Najah (Hawwa) Atiyyah
202620,20122,ARAB,232,Cultures and Histories,3,Arab Poetry:Making Early Canon,MWF,1000 1050,NICELY,Najah (Hawwa) Atiyyah
202620,20122,ARAB,232,Humanities I,3,Arab Poetry:Making Early Canon,MWF,1000 1050,NICELY,Najah (Hawwa) Atiyyah
202620,23042,ARAB,236,Arabic Communication Skills,3,Qur'anic Studies,MWF,1000 1050,REYNOL,Mariam El Ali
202620,23042,ARAB,236,Cultures and Histories,3,Qur'anic Studies,MWF,1000 1050,REYNOL,Mariam El Ali
202620,23042,ARAB,236,Humanities I,3,Qur'anic Studies,MWF,1000 1050,REYNOL,Mariam El Ali
202620,23042,ARAB,236,Understanding Communication,3,Qur'anic Studies,MWF,1000 1050,REYNOL,Mariam El Ali
202620,20123,ARAB,238,Arabic Communication Skills,3,Arabic Poetry and Modernity,TR,1530 1645,NICELY,Jawdat Fakhreddine
202620,20123,ARAB,238,Cultures and Histories,3,Arabic Poetry and Modernity,TR,1530 1645,NICELY,Jawdat Fakhreddine
202620,20123,ARAB,238,Humanities I,3,Arabic Poetry and Modernity,TR,1530 1645,NICELY,Jawdat Fakhreddine
202620,20123,ARAB,238,Understanding Communication,3,Arabic Poetry and Modernity,TR,1530 1645,NICELY,Jawdat Fakhreddine
202620,20124,ARAB,240,Arabic Communication Skills,3,Arabic Drama,MWF,1000 1050,NICELY,Tarif Bazzi
202620,20124,ARAB,240,Humanities II,3,Arabic Drama,MWF,1000 1050,NICELY,Tarif Bazzi
202620,20124,ARAB,240,Understanding Communication,3,Arabic Drama,MWF,1000 1050,NICELY,Tarif Bazzi
202620,20125,ARAB,243,Arabic Communication Skills,3,Arabic Rhetoric,MW,1530 1645,NICELY,Najah (Hawwa) Atiyyah
202620,20125,ARAB,243,Cultures and Histories,3,Arabic Rhetoric,MW,1530 1645,NICELY,Najah (Hawwa) Atiyyah
202620,20125,ARAB,243,Humanities I,3,Arabic Rhetoric,MW,1530 1645,NICELY,Najah (Hawwa) Atiyyah
202620,20125,ARAB,243,Understanding Communication,3,Arabic Rhetoric,MW,1530 1645,NICELY,Najah (Hawwa) Atiyyah
202620,20126,ARAB,243,Arabic Communication Skills,3,Arabic Rhetoric,MW,1700 1815,NICELY,Najah (Hawwa) Atiyyah
202620,20126,ARAB,243,Cultures and Histories,3,Arabic Rhetoric,MW,1700 1815,NICELY,Najah (Hawwa) Atiyyah
202620,20126,ARAB,243,Humanities I,3,Arabic Rhetoric,MW,1700 1815,NICELY,Najah (Hawwa) Atiyyah
202620,20126,ARAB,243,Understanding Communication,3,Arabic Rhetoric,MW,1700 1815,NICELY,Najah (Hawwa) Atiyyah
202620,20127,ARAB,246,Arabic Communication Skills,3,The Lexicon of the Nahda,TR,1230 1345,NICELY,Jawdat Fakhreddine
202620,20127,ARAB,246,Cultures and Histories,3,The Lexicon of the Nahda,TR,1230 1345,NICELY,Jawdat Fakhreddine
202620,20127,ARAB,246,Humanities I,3,The Lexicon of the Nahda,TR,1230 1345,NICELY,Jawdat Fakhreddine
202620,20127,ARAB,246,Understanding Communication,3,The Lexicon of the Nahda,TR,1230 1345,NICELY,Jawdat Fakhreddine
202620,20128,ARAB,247,Cultures and Histories,3,Beyond the Canon,TR,1100 1215,NICELY,Maher Jarrar
202620,20128,ARAB,247,Humanities I,3,Beyond the Canon,TR,1100 1215,NICELY,Maher Jarrar
202620,23039,ARAB,249,Arabic Communication Skills,3,Sufi Literature,MW,1530 1645,PHYS,Rawane El Helou
202620,23039,ARAB,249,Cultures and Histories,3,Sufi Literature,MW,1530 1645,PHYS,Rawane El Helou
202620,23039,ARAB,249,Humanities I,3,Sufi Literature,MW,1530 1645,PHYS,Rawane El Helou
202620,23039,ARAB,249,Understanding Communication,3,Sufi Literature,MW,1530 1645,PHYS,Rawane El Helou
202620,20129,ARAB,251AA,Arabic Communication Skills,3,Sp.Tp: Society in Literature,MW,1100 1215,NICELY,Samir Malti
202620,20129,ARAB,251AA,Cultures and Histories,3,Sp.Tp: Society in Literature,MW,1100 1215,NICELY,Samir Malti
202620,20129,ARAB,251AA,Humanities I,3,Sp.Tp: Society in Literature,MW,1100 1215,NICELY,Samir Malti
202620,20129,ARAB,251AA,Understanding Communication,3,Sp.Tp: Society in Literature,MW,1100 1215,NICELY,Samir Malti
202620,20130,ARAB,251AW,Arabic Communication Skills,3,ST.Reading in Judeo-Arabic Lit,TR,1700 1815,NICELY,Hussein Ghaddar
202620,20130,ARAB,251AW,Cultures and Histories,3,ST.Reading in Judeo-Arabic Lit,TR,1700 1815,NICELY,Hussein Ghaddar
202620,20130,ARAB,251AW,Humanities I,3,ST.Reading in Judeo-Arabic Lit,TR,1700 1815,NICELY,Hussein Ghaddar
202620,20130,ARAB,251AW,Understanding Communication,3,ST.Reading in Judeo-Arabic Lit,TR,1700 1815,NICELY,Hussein Ghaddar
202620,23049,ARAB,251AZ,Arabic Communication Skills,3,ST.Khadija bnt Khuwaylid,TR,1700 1815,NICELY,Mariam El Ali
202620,23049,ARAB,251AZ,Cultures and Histories,3,ST.Khadija bnt Khuwaylid,TR,1700 1815,NICELY,Mariam El Ali
202620,23049,ARAB,251AZ,Humanities I,3,ST.Khadija bnt Khuwaylid,TR,1700 1815,NICELY,Mariam El Ali
202620,23049,ARAB,251AZ,Understanding Communication,3,ST.Khadija bnt Khuwaylid,TR,1700 1815,NICELY,Mariam El Ali
202620,23050,ARAB,251BA,Cultures and Histories,3,ST. Modern Hebrew Language,TR,0800 0915,NICELY,Hussein Ghaddar
202620,23050,ARAB,251BA,Humanities I,3,ST. Modern Hebrew Language,TR,0800 0915,NICELY,Hussein Ghaddar
202620,20131,ARAB,251P,Arabic Communication Skills,3,S.T:Arabic Feminist Literature,TR,0800 0915,NICELY,Hosn Abboud
202620,20131,ARAB,251P,Cultures and Histories,3,S.T:Arabic Feminist Literature,TR,0800 0915,NICELY,Hosn Abboud
202620,20131,ARAB,251P,Humanities II,3,S.T:Arabic Feminist Literature,TR,0800 0915,NICELY,Hosn Abboud
202620,20131,ARAB,251P,Social Inequalities,3,S.T:Arabic Feminist Literature,TR,0800 0915,NICELY,Hosn Abboud
202620,20131,ARAB,251P,Understanding Communication,3,S.T:Arabic Feminist Literature,TR,0800 0915,NICELY,Hosn Abboud
202620,20132,ARAB,251W,Arabic Communication Skills,3,Sp.Tp: Nahda in periodicals,TR,1230 1345,REYNOL,Raghda Nahas El-Zein
202620,20132,ARAB,251W,Cultures and Histories,3,Sp.Tp: Nahda in periodicals,TR,1230 1345,REYNOL,Raghda Nahas El-Zein
202620,20132,ARAB,251W,Humanities I,3,Sp.Tp: Nahda in periodicals,TR,1230 1345,REYNOL,Raghda Nahas El-Zein
202620,20132,ARAB,251W,Understanding Communication,3,Sp.Tp: Nahda in periodicals,TR,1230 1345,REYNOL,Raghda Nahas El-Zein
202620,20179,ARCH,122,Cultures and Histories,4,Hist.of Art &Architecture II,TR,0800 0915,ARCH,Bettina Genz
202620,20179,ARCH,122,Humanities I,4,Hist.of Art &Architecture II,TR,0800 0915,ARCH,Bettina Genz
202620,20180,ARCH,151,Natural Sciences,4,Statics & Mechanics of Solids,MWF,1100 1150,IOEC,Amer Elsouri
202620,20180,ARCH,151,Understanding the World,4,Statics & Mechanics of Solids,MWF,1100 1150,IOEC,Amer Elsouri
202620,20181,ARCH,151,Natural Sciences,4,Statics & Mechanics of Solids,MWF,1200 1250,IOEC,Amer Elsouri
202620,20181,ARCH,151,Understanding the World,4,Statics & Mechanics of Solids,MWF,1200 1250,IOEC,Amer Elsouri
202620,20189,ARDS,60,Community Engaged Learning,3,Intro Human-Centered Design,MW,0900 1145,IOEC,Vrouyr Joubanian
202620,20190,ARDS,60,Community Engaged Learning,3,Intro Human-Centered Design,MW,0900 1145,IOEC,Nadia Hani Asfour
202620,20191,ARDS,60,Community Engaged Learning,3,Intro Human-Centered Design,MW,1300 1545,IOEC,Nathalie Al Kakoun
202620,20192,ARDS,60,Community Engaged Learning,3,Intro Human-Centered Design,TR,0800 1045,IOEC,Joanna Zeenny
202620,20193,ARDS,60,Community Engaged Learning,3,Intro Human-Centered Design,TR,1230 1515,IOEC,Ramona Abdallah
202620,20196,AROL,212,Cultures and Histories,3,Methodology II,TR,1100 1215,POST,Jack Nurpetlian
202620,20196,AROL,212,Humanities I,3,Methodology II,TR,1100 1215,POST,Jack Nurpetlian
202620,23057,AROL,218,Cultures and Histories,3,Phoenician Expansion in Medit.,TR,0930 1045,POST,Helene Sader
202620,23057,AROL,218,Humanities I,3,Phoenician Expansion in Medit.,TR,0930 1045,POST,Helene Sader
202620,20198,AROL,222,Cultures and Histories,3,Introduction to Greek Arch.,,,,
202620,20198,AROL,222,Humanities I,3,Introduction to Greek Arch.,,,,
202620,20199,AROL,224,Cultures and Histories,3,Intr. to the Roman World,,,,
202620,20199,AROL,224,Humanities I,3,Intr. to the Roman World,,,,
202620,20200,AROL,235A,Cultures and Histories,3,Sp.Tp:Money in Ancient World,TR,1230 1345,POST,Jack Nurpetlian
202620,20200,AROL,235A,Humanities I,3,Sp.Tp:Money in Ancient World,TR,1230 1345,POST,Jack Nurpetlian
202620,20201,AROL,235AJ,Cultures and Histories,3,ST. Climate & Human Societies,TR,0800 0915,POST,Hermann Genz
202620,20201,AROL,235AJ,Humanities I,3,ST. Climate & Human Societies,TR,0800 0915,POST,Hermann Genz
202620,20201,AROL,235AJ,Natural Sciences,3,ST. Climate & Human Societies,TR,0800 0915,POST,Hermann Genz
202620,20201,AROL,235AJ,Understanding the World,3,ST. Climate & Human Societies,TR,0800 0915,POST,Hermann Genz
202620,20202,AROL,235AK,Cultures and Histories,3,ST. Museum Conservation,TR,1400 1515,POST,Nadine Panayot
202620,20202,AROL,235AK,Humanities I,3,ST. Museum Conservation,TR,1400 1515,POST,Nadine Panayot
202620,20203,AROL,235AL,Natural Sciences,3,ST. Intro. to Bioarchaeology,TR,1100 1215,POST,Claire Joanna Malleson
202620,20203,AROL,235AL,Understanding the World,3,ST. Intro. to Bioarchaeology,TR,1100 1215,POST,Claire Joanna Malleson
202620,23194,AROL,235AM,Cultures and Histories,3,ST.Burial & Memory in Lebanon,TR,0800 0915,NICELY,
202620,23194,AROL,235AM,Humanities I,3,ST.Burial & Memory in Lebanon,TR,0800 0915,NICELY,
202620,20222,AVSC,220,Natural Sciences,3,Livestock Production,W,1300 1528,FAFS,Mohamad Talal Farran
202620,20222,AVSC,220,Understanding the World,3,Livestock Production,W,1300 1528,FAFS,Mohamad Talal Farran
202620,20224,AVSC,224,Natural Sciences,3,Agricultural Microbiology,TR,1200 1250,FAFS,Houssam Shaib
202620,20224,AVSC,224,Understanding the World,3,Agricultural Microbiology,TR,1200 1250,FAFS,Houssam Shaib
202620,20234,BIOL,200,Natural Sciences,4,Diversity of Life,M,1100 1350,BIOL,Hwaida Jaber
202620,20234,BIOL,200,Understanding the World,4,Diversity of Life,M,1100 1350,BIOL,Hwaida Jaber
202620,20235,BIOL,200,Natural Sciences,4,Diversity of Life,W,1400 1650,BIOL,Hwaida Jaber
202620,20235,BIOL,200,Understanding the World,4,Diversity of Life,W,1400 1650,BIOL,Hwaida Jaber
202620,20236,BIOL,200,Natural Sciences,4,Diversity of Life,MWF,0900 0950,BIOL,Hind Dunya Rizkallah
202620,20236,BIOL,200,Understanding the World,4,Diversity of Life,MWF,0900 0950,BIOL,Hind Dunya Rizkallah
202620,20265,BIOL,209,Natural Sciences,3,Concepts and Connections,MW,1100 1215,PHYS,Hind Dunya Rizkallah
202620,20265,BIOL,209,Understanding the World,3,Concepts and Connections,MW,1100 1215,PHYS,Hind Dunya Rizkallah
202620,20266,BIOL,209,Natural Sciences,3,Concepts and Connections,MW,1230 1345,PHYS,Hind Dunya Rizkallah
202620,20266,BIOL,209,Understanding the World,3,Concepts and Connections,MW,1230 1345,PHYS,Hind Dunya Rizkallah
202620,20267,BIOL,210,Natural Sciences,3,Human Biology,TR,0930 1045,PHYS,Nada Sinnu
202620,20267,BIOL,210,Understanding the World,3,Human Biology,TR,0930 1045,PHYS,Nada Sinnu
202620,20268,BIOL,210,Natural Sciences,3,Human Biology,TR,0800 0915,PHYS,Nada Sinnu
202620,20268,BIOL,210,Understanding the World,3,Human Biology,TR,0800 0915,PHYS,Nada Sinnu
202620,20293,BIOL,250,Natural Sciences,3,Biosphere,TR,1230 1345,PHYS,Hala Muhtasib
202620,20293,BIOL,250,Understanding the World,3,Biosphere,TR,1230 1345,PHYS,Hala Muhtasib
202620,20515,BUSS,215,Cultures and Histories,3,Business Ethics,TR,1530 1645,OSB,Alejandro Ramirez Centeno
202620,20515,BUSS,215,Humanities I,3,Business Ethics,TR,1530 1645,OSB,Alejandro Ramirez Centeno
202620,20515,BUSS,215,Human Values,3,Business Ethics,TR,1530 1645,OSB,Alejandro Ramirez Centeno
202620,20516,BUSS,215,Cultures and Histories,3,Business Ethics,MW,1230 1345,OSB,Alejandro Ramirez Centeno
202620,20516,BUSS,215,Humanities I,3,Business Ethics,MW,1230 1345,OSB,Alejandro Ramirez Centeno
202620,20516,BUSS,215,Human Values,3,Business Ethics,MW,1230 1345,OSB,Alejandro Ramirez Centeno
202620,20517,BUSS,215,Cultures and Histories,3,Business Ethics,TR,1230 1345,OSB,Jay Joseph
202620,20517,BUSS,215,Humanities I,3,Business Ethics,TR,1230 1345,OSB,Jay Joseph
202620,20517,BUSS,215,Human Values,3,Business Ethics,TR,1230 1345,OSB,Jay Joseph
202620,20518,BUSS,215,Cultures and Histories,3,Business Ethics,MW,0930 1045,OSB,Yasser Akkawi
202620,20518,BUSS,215,Humanities I,3,Business Ethics,MW,0930 1045,OSB,Yasser Akkawi
